CircleID,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12
WB,0,0,0,0,4,4,9,14,21
DL,10,19,30,48,318,710,914,1072,1215,1216
AS,0,0,0,0,95,162,348,450,479,480
HP,1,1,1,1,82,115,132,159,164,164,165,166
UE,162,348,659,955,1375,1816,2755,3440,3707,3708,3709
MH,2,4,5,46,434,1000,1369,1744,1862,1867,1868,1870
MP,17,521,850,1337,2648,4661,6434,8134,8840,8848,8856,8861
PB,0,0,57,125,197,263,317,393,411
KA,1,4,6,8,8,8,9,12,18
AP,1,15,19,29,54,61,87,111,128
RJ,1,12,98,461,1330,1850,2177,2544,2641,2646,2647
TN,0,0,0,0,0,0,0,30,33,33,34
UP E,0,23,37,40,42,50,52,52,53
MU,0,1,1,1,2,21,59,191,235
JK,0,180,266,285,295,351,372,414,418
HR,2,2,2,2,15,163,255,287,306
BR/UE,0,0,0,0,2
CH,0,0,0,0,3,4,33,43,46
UW,12,39,54,75,119,213,403,494,519
OR,0,1,1,1,69,80,126,209,215,217
NE,0,0,0,0,1,5,5,5,6
Not Defined,22,202,350,511,844,1132,1414,1696,1896,1898,1903,1921
BR,0,15,44,203,449,676,795,922,6664,6665
KO,0,0,0,0,0,0,5,11
GJ,0,0,0,55,143,247,368,425,489,493,495,499
